Gene	TAP0	TAPHL15	TAPHL120	TP0	TP15	TP120	TPHL15	TPHL120
g10307.t1	2.25215	0	5.52637	6.4575	2.83623	1.51	25.9675	0
g10553.t1	5.29265	0	15.1558	0	2.94734	0	0	0
g10691.t1	13.8449	0	9.39557	17.6349	9.2368	8.81589	7.59068	12.7186
g10774.t1	3.68228	0	0.524593	2.15091	1.14484	2.44628	1.88574	1.24444
g10930.t1	26.4359	0	24.0208	2.50504	24.9454	25.4256	2.90116	51.3583
g10991.t1	4.11977	0	8.45699	14.1962	4.55096	6.22325	0	6.11492
g11019.t1	0.455234	0	0	0.417863	0.470044	0.0731518	0	0
g11025.t1	0.365545	0	0.571335	0.993997	2.51568	1.97342	0.3444	1.06142
g11027.t1	4.70007	0	3.05747	1.2421	0.850653	1.59025	0	1.35684
g11034.t1	1.5232	0	0	7.71588	0	1.46257	2.92123	0
g11035.t1	3.20374	0	0	0	0	0	4.04616	0
g11042.t1	1.50274	0	0	0	1.19242	1.29176	0	0
g11047.t1	16.7773	0	12.8588	0	39.6658	70.0944	130.583	0
g2219.t1	5.5767	0	0.819201	1.67742	0.88277	0.98611	0.558364	1.53119
g2294.t1	7.81107	0	1.28001	0	3.42046	4.20319	0	0.889896
g2771.t1	2.19404	0	3.12781	0	1.30361	1.79013	0	0.66009
g3114.t1	23.1846	0	10.5102	13.4843	24.3855	24.9295	10.1958	14.0895
g322.t1	3.17807	0	2.79497	25.9682	2.3282	5.69829	7.9106	3.59347
g3327.t1	4.43344	0	4.9886	0.926671	5.31151	4.98127	0.957167	2.29479
g3591.t1	6.53754	0	9.89334	1.68241	6.39575	6.39119	3.23017	2.36235
g394.t1	3.2174	0	0	6.55434	1.96827	2.63543	1.14476	0.783819
g4391.t1	1.07133	0	1.44348	0	3.20802	2.10165	0	0
g4551.t1	1.86403	0	5.37511	1.67827	7.35786	5.04367	1.96145	2.09222
g4634.t1	7.81733	0	5.88468	5.26351	3.37669	3.91622	0.270975	1.25437
