Cre16.g664550.t1.2	g10002.t1	Serine hydroxymethyltransferase (gi:17066746, high light-inducible; Low-CO2 inducible gene revealed by cDNA array analyses; regulated by CCM1 [PMID: 15235119]. Acclimation to changing CO2 concentrations and light intensities was studied by Yamano et al. -
Cre12.g514450.t1.2	g10003.t1	
Cre12.g520550.t1.2	g10004.t1	Importin beta-2 homolog. Similar to transportin, a member of the importin beta superfamily. Previously annotated as TRN1
Cre16.g666150.t1.2	g10006.t1	Flagellar outer dynein arm-docking complex subunit 2 (ODA-DC2). Previously annotated as ODA1
Cre17.g713200.t1.1	g10007.t1	Linked to closely related OMT1; highest similarity to oxoglutarate/malate translocator (PMID: 7873543) and to di- and tri-carboxylate translocators, but also has similarity to a Na+/SO42- translocator domain; could be a dicistronic mRNA: an upstream ORF s
Cre17.g713200.t1.1	g10007.t2	Linked to closely related OMT1; highest similarity to oxoglutarate/malate translocator (PMID: 7873543) and to di- and tri-carboxylate translocators, but also has similarity to a Na+/SO42- translocator domain; could be a dicistronic mRNA: an upstream ORF s
Cre12.g502400.t1.2	g10008.t1	
Cre13.g606850.t1.2	g10009.t1	
Cre10.g443900.t1.1	g1000.t1	Homologous to Arabidopsis borate transporter, AtBor1. Contains HCO3- transporter family. (pfam00955). This family contains Band 3 anion exchange proteins that exchange Cl-/HCO3-. This family also includes cotransporters of Na+/HCO3-. No ESTs, but mRNA was
Cre12.g483950.t1.2	g10010.t1	NAD-dependent malate dehydrogenase, mitochondrial. Expressed Protein. See: gi:2497858; homologous to At1g53240.1. Found in the flagellar proteome [PMID: 15998802].
Cre10.g437100.t1.1	g10011.t1	
Cre02.g088900.t1.2	g10012.t1	Chloroplast ribosomal protein L1, imported to chloroplast; Chloroplast large ribosomal subunit protein L1
Cre07.g332500.t1.2	g10013.t1	
Cre17.g718950.t1.2	g10014.t1	Related to RuBisCO activase (RCA); catalyzes the activation of RuBisCO (ribulose-1,5-bisphosphate carboxylase/oxygenase; EC 4.1.1.39); via the ATP-dependent carboxylation of the epsilon-amino group of lysine.
Cre03.g182500.t1.2	g10019.t1	Expressed Protein. Similar to the SRP72 subunit of the Signal Recognition Particle. Involved in ER protein translocation.
Cre03.g170400.t1.1	g10020.t1	
Cre03.g157300.t1.2	g10021.t1	Putative CAF1 (POP2), likely catalytic component of the CCR4-NOT core complex, which in the nucleus seems to be a general transcription factor, and in the cytoplasm the major mRNA deadenylase involved in mRNA turnover.
Cre16.g673617.t1.1	g10024.t1	Mitochondrial peptide chain release factor 1, similar to eubacterial class 1 release factors (prfA, RF1); (reliability class 3 by TargetP). Previously annotated as PRFA1 Mitochondrial peptide chain release factor 1, similar to eubacterial class 1 release factors (prfA, RF1); (reliability class 3 by TargetP). Previously annotated as PRFA1
Cre48.g761197.t1.1	g10025.t1	
Cre48.g761197.t1.1	g10025.t2	
Cre10.g440050.t1.2	g10027.t1	NAD-dependent epimerase/dehydratase, possibly with UDP-glucose 4-epimerase activity. Based on homology with an Arabidopsis protein, this is putatively a chloroplast RNA binding protein cp ribosome-associated RAP41 chloroplast stem-loop-binding protein an
Cre12.g533000.t1.2	g10029.t1	CPD photolyase type II (Deoxyribodipyrimidine photolyase class 2). Was formerly assigned PHR1, but this is not correct (communication with Jason Petersen)
Cre12.g533000.t1.2	g10029.t2	CPD photolyase type II (Deoxyribodipyrimidine photolyase class 2). Was formerly assigned PHR1, but this is not correct (communication with Jason Petersen)
Cre17.g740600.t2.1	g1002.t2	Identified by comparative genomics as being present only in organisms having motile (MOT) cilia
Cre16.g663200.t1.1	g10031.t1	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]
Cre05.g233050.t1.2	g10038.t1	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]
Cre16.g694204.t1.1	g10039.t1	
